dlist-nonempty,s,0,0
hackage-security,s,0,0
cutter,s,0,0
debug,s,1,0
x11-xim,s,0,0
bson-lens,s,0,0
generics-eot,s,2,0
enumset,s,0,0
irc-dcc,s,0,0
servant,s,2,0
conduit-extra,s,1,0
th-reify-compat,s,0,0
papillon,s,0,0
witness,s,0,0
SCalendar,s,1,0
wreq,s,0,0
log-domain,s,1,0
sbp,s,1,0
pandoc-types,s,1,0
random-shuffle,s,0,0
tardis,s,0,0
monad-time,s,1,0
base-orphans,s,1,0
show-prettyprint,s,1,0
bitcoin-api,s,0,0
fast-logger,s,1,0
gauge,s,5,0
casing,s,1,0
memory,s,1,0
filter-logger,s,1,0
http-date,s,2,0
hackage-db,s,0,0
boltzmann-samplers,s,1,0
repline,s,0,0
stopwatch,s,1,0
hw-hedgehog,s,1,0
sdl2,s,0,0
currencies,s,1,0
imagesize-conduit,s,1,0
config-ini,s,0,0
dawg-ord,s,1,0
rasterific-svg,s,0,0
th-abstraction,s,1,0
simple-sendfile,s,1,0
credential-store,s,1,0
scalendar,s,1,0
mmap,s,0,0
concurrent-output,s,0,0
midi,s,1,0
friday,s,1,0
libxml-sax,s,0,0
xml,s,0,0
lattices,s,0,0
utility-ht,s,1,0
random-bytestring,s,0,0
uri-templater,s,1,0
erf,s,0,0
th-lift-instances,s,1,0
leapseconds-announced,s,1,0
tasty-silver,s,1,0
OpenAL,s,0,0
btrfs,s,0,0
flac-picture,s,1,0
opensource,s,1,0
unicode-show,s,1,0
zim-parser,s,1,0
pipes-network,s,0,0
tile,s,1,0
latex,s,0,0
zlib-lens,s,0,0
hw-prim,s,1,0
tagged,s,0,0
text-zipper,s,1,0
chan,s,1,0
numtype-dk,s,0,0
wai-cli,s,0,0
time-compat,s,0,0
configurator-export,s,1,0
string-transform,s,1,0
xml-indexed-cursor,s,2,0
hxt,s,0,0
data-accessor,s,0,0
clock-extras,s,1,0
terminal-size,s,0,0
bv,s,0,0
special-values,s,0,0
tar-conduit,s,2,0
singletons,s,1,0
wai-session,s,0,0
uri-bytestring,s,1,0
string-conv,s,0,0
logfloat,s,0,0
hvect,s,1,0
ekg-json,s,0,0
js-jquery,s,1,0
attoparsec-ip,s,1,0
fft,s,1,0
yesod-newsfeed,s,0,0
haskell-src-exts,s,0,0
maximal-cliques,s,0,0
vector-binary-instances,s,1,0
ghc-typelits-extra,s,1,0
datadog,s,1,0
transaction,s,2,0
nix-paths,s,0,0
intervals,s,1,0
stringbuilder,s,1,0
yesod-persistent,s,1,0
hslua-module-text,s,1,0
do-list,s,1,0
makefile,s,0,0
language-c,s,1,0
servant-blaze,s,1,0
gi-pango,s,0,0
simple-reflect,s,0,0
silently,s,2,0
mockery,s,1,0
wl-pprint-annotated,s,1,0
hopfli,s,1,0
utf8-light,s,0,0
charsetdetect-ae,s,0,0
type-level-kv-list,s,2,0
snap-server,s,1,0
scalpel,s,0,0
sexp-grammar,s,1,0
x509,s,1,0
tagchup,s,1,0
bencode,s,0,0
vinyl,s,2,0
promises,s,0,0
clash-ghc,s,0,0
yesod,s,0,0
hostname-validate,s,0,0
classy-prelude-yesod,s,0,0
hexml,s,1,0
keys,s,0,0
wrap,s,0,0
blaze-builder,s,1,0
gravatar,s,1,0
ansi-terminal,s,0,0
parsers,s,1,0
protobuf-simple,s,1,0
cryptocompare,s,1,0
boolsimplifier,s,0,0
lens,s,4,0
machines-binary,s,0,0
math-functions,s,1,0
quickcheck-instances,s,1,0
hruby,s,1,0
monad-unlift-ref,s,0,0
regex-compat,s,0,0
vector-buffer,s,0,0
wai-middleware-caching-lru,s,1,0
threepenny-gui,s,0,0
vivid,s,0,0
pdfinfo,s,0,0
hashids,s,1,0
pathwalk,s,4,0
inflections,s,1,0
unliftio-core,s,0,0
weigh,s,0,0
yesod-alerts,s,0,0
control-bool,s,0,0
base-compat,s,1,0
concurrent-extra,s,1,0
tmapchan,s,0,0
ix-shapable,s,0,0
binary-conduit,s,1,0
cache,s,1,0
pipes-csv,s,1,0
loop,s,1,0
cassava,s,0,0
aeson-typescript,s,0,1
concurrent-split,s,0,0
language-javascript,s,1,0
aeson-utils,s,0,0
monad-products,s,0,0
wide-word,s,1,0
Boolean,s,0,0
bindings-DSL,s,0,0
kawhi,s,1,0
monadic-arrays,s,0,0
annotated-wl-pprint,s,0,0
unification-fd,s,0,0
io-streams,s,1,0
data-accessor-mtl,s,0,0
hw-rankselect,s,1,0
hw-rankselect-base,s,1,0
dotnet-timespan,s,0,0
hw-conduit,s,1,0
speculate,s,9,0
selda-postgresql,s,0,0
x509-system,s,0,0
Clipboard,s,0,0
hamilton,s,0,0
ip6addr,s,0,0
deepseq-generics,s,1,0
safecopy,s,1,0
pandoc,s,0,0
distributed-closure,s,1,0
